Date,Open,High,Low,Close
2022-10-21,1626.828,1657.798,1617.067,1657.298
2022-10-22,1657.298,1657.298,1657.298,1657.298
2022-10-23,1657.608,1670.748,1656.458,1661.148
2022-10-24,1661.077,1663.248,1643.747,1651.588
2022-10-25,1651.597,1662.187,1638.098,1652.598
2022-10-26,1652.637,1674.678,1649.558,1667.358
2022-10-27,1667.287,1670.648,1654.668,1661.728
2022-10-28,1661.758,1666.858,1637.898,1644.498
2022-10-29,1644.498,1644.498,1644.498,1644.498
2022-10-30,1643.398,1645.258,1641.297,1643.368
2022-10-31,1643.388,1645.488,1631.578,1632.248
2022-11-01,1632.257,1656.878,1630.477,1646.688
2022-11-02,1646.878,1669.257,1631.708,1633.578
2022-11-03,1633.537,1640.858,1616.477,1629.588
2022-11-04,1629.647,1681.718,1629.198,1681.148
2022-11-05,1681.148,1681.148,1681.148,1681.148
2022-11-06,1674.327,1680.137,1672.107,1672.527
2022-11-07,1672.698,1681.758,1666.707,1673.918
2022-11-08,1673.867,1716.738,1664.557,1711.367
2022-11-09,1711.348,1722.168,1702.048,1706.348
2022-11-10,1706.358,1756.998,1703.838,1752.078
2022-11-11,1751.947,1772.448,1747.108,1771.198
2022-11-12,1771.198,1771.198,1771.198,1771.198
2022-11-13,1765.917,1766.577,1761.177,1763.348
2022-11-14,1763.298,1774.938,1753.098,1769.298
2022-11-15,1769.398,1786.367,1766.948,1780.648
2022-11-16,1780.587,1784.928,1770.167,1773.738
2022-11-17,1773.647,1774.668,1754.268,1759.978
2022-11-18,1759.897,1767.578,1747.317,1750.398
2022-11-19,1750.398,1750.398,1750.398,1750.398
2022-11-20,1749.817,1752.518,1749.618,1752.157
2022-11-21,1752.147,1752.807,1732.338,1738.358
2022-11-22,1738.287,1749.598,1736.867,1740.998
2022-11-23,1740.947,1753.177,1728.137,1752.198
2022-11-24,1752.097,1758.468,1752.088,1755.207
2022-11-25,1755.167,1760.958,1745.848,1754.417
2022-11-26,1754.417,1754.417,1754.417,1754.417
2022-11-27,1755.787,1755.787,1749.607,1750.717
2022-11-28,1750.697,1763.618,1739.348,1741.108
2022-11-29,1741.118,1758.898,1740.057,1748.725
2022-11-30,1748.747,1773.348,1744.717,1773.248
2022-12-01,1773.177,1804.298,1771.798,1802.098
2022-12-02,1802.198,1802.898,1778.418,1797.248
2022-12-03,1797.248,1797.248,1797.248,1797.248
2022-12-04,1795.937,1799.178,1794.207,1798.788
2022-12-05,1798.767,1809.758,1766,1769.157
2022-12-06,1769.137,1780.728,1767.118,1770.798
2022-12-07,1770.808,1790.357,1768.588,1786.868
2022-12-08,1786.908,1794.728,1781.268,1789.078
2022-12-09,1789.037,1805.998,1788.298,1795.397
2022-12-10,1795.397,1795.397,1795.397,1795.397
2022-12-11,1795.687,1797.067,1794.598,1794.848
2022-12-12,1794.748,1795.328,1777.417,1781.915
2022-12-13,1781.885,1824.358,1780.875,1809.575
2022-12-14,1809.595,1814.035,1795.008,1807.575
2022-12-15,1807.585,1807.725,1773.608,1776.475
2022-12-16,1776.455,1794.198,1774.205,1792.598
